"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Upper","13 Feb 2026, 17:32","13 Feb 2026, 18:50","","Bench Press (Barbell)",,"",0,"normal",165,4,,,
"Upper","13 Feb 2026, 17:32","13 Feb 2026, 18:50","","Bench Press (Barbell)",,"",1,"normal",165,4,,,
"Upper","13 Feb 2026, 17:32","13 Feb 2026, 18:50","","Front Raise (Dumbbell)",,"",0,"normal",25,6,,,
"Upper","13 Feb 2026, 17:32","13 Feb 2026, 18:50","","Front Raise (Dumbbell)",,"",1,"normal",25,5,,,
"Upper","13 Feb 2026, 17:32","13 Feb 2026, 18:50","","Lateral Raise (Machine)",,"",0,"normal",27.5,6,,,
"Upper","13 Feb 2026, 17:32","13 Feb 2026, 18:50","","Lateral Raise (Machine)",,"",1,"normal",27.5,7,,,
"Upper","13 Feb 2026, 17:32","13 Feb 2026, 18:50","","Preacher Curl (Dumbbell)",,"",0,"normal",35,4,,,
"Upper","13 Feb 2026, 17:32","13 Feb 2026, 18:50","","Preacher Curl (Dumbbell)",,"",1,"normal",35,5,,,
"Upper","13 Feb 2026, 17:32","13 Feb 2026, 18:50","","Triceps Pushdown",,"",0,"normal",70,8,,,
"Upper","13 Feb 2026, 17:32","13 Feb 2026, 18:50","","Triceps Pushdown",,"",1,"normal",70,6,,,
"Upper","13 Feb 2026, 17:32","13 Feb 2026, 18:50","","Lat Pulldown (Cable)",,"",0,"normal",175,6,,,
"Upper","13 Feb 2026, 17:32","13 Feb 2026, 18:50","","Lat Pulldown (Cable)",,"",1,"normal",175,5,,,
"Upper","13 Feb 2026, 17:32","13 Feb 2026, 18:50","","Pullover (Machine)",,"",0,"normal",180,5,,,
"Upper","13 Feb 2026, 17:32","13 Feb 2026, 18:50","","Kelso Shrug",,"",0,"normal",250,7,,,
"Upper","13 Feb 2026, 17:32","13 Feb 2026, 18:50","","Kelso Shrug",,"",1,"normal",250,6,,,
"Upper","13 Feb 2026, 17:32","13 Feb 2026, 18:50","","Incline Chest Press (Machine)",,"",0,"normal",200,6,,,
"Upper","13 Feb 2026, 17:32","13 Feb 2026, 18:50","","Decline Bench Press (Machine)",,"",0,"normal",220,6,,,
"Lower","12 Feb 2026, 16:34","12 Feb 2026, 17:40","","Single Leg Extensions",,"",0,"normal",120,6,,,
"Lower","12 Feb 2026, 16:34","12 Feb 2026, 17:40","","Single Leg Extensions",,"",1,"normal",120,4,,,
"Lower","12 Feb 2026, 16:34","12 Feb 2026, 17:40","","Back Extension (Weighted Hyperextension)",,"",0,"normal",160,5,,,
"Lower","12 Feb 2026, 16:34","12 Feb 2026, 17:40","","Back Extension (Weighted Hyperextension)",,"",1,"normal",160,4,,,
"Lower","12 Feb 2026, 16:34","12 Feb 2026, 17:40","","Lying Leg Curl (Machine)",,"",0,"normal",150,5,,,
"Lower","12 Feb 2026, 16:34","12 Feb 2026, 17:40","","Lying Leg Curl (Machine)",,"",1,"normal",150,4,,,
"Lower","12 Feb 2026, 16:34","12 Feb 2026, 17:40","","Hip Adduction (Machine)",,"",0,"normal",120,7,,,
"Lower","12 Feb 2026, 16:34","12 Feb 2026, 17:40","","Hip Adduction (Machine)",,"",1,"normal",120,6,,,
"Lower","12 Feb 2026, 16:34","12 Feb 2026, 17:40","","Hip Abduction (Machine)",,"",0,"normal",130,8,,,
"Lower","12 Feb 2026, 16:34","12 Feb 2026, 17:40","","Cable Crunch",,"",0,"normal",95,7,,,
"Lower","12 Feb 2026, 16:34","12 Feb 2026, 17:40","","Cable Crunch",,"",1,"normal",95,5,,,
"Lower","12 Feb 2026, 16:34","12 Feb 2026, 17:40","","Calf Press (Machine)",,"",0,"normal",230,10,,,
"Lower","12 Feb 2026, 16:34","12 Feb 2026, 17:40","","Reverse Curl (Cable)",,"",0,"normal",50,6,,,
"Lower","12 Feb 2026, 16:34","12 Feb 2026, 17:40","","Reverse Curl (Cable)",,"",1,"normal",50,4,,,
"Lower","12 Feb 2026, 16:34","12 Feb 2026, 17:40","","Leg Press (Machine)",,"",0,"normal",360,8,,,
"Upper","11 Feb 2026, 18:00","11 Feb 2026, 19:12","","Bench Press (Dumbbell)",,"",0,"normal",160,5,,,
"Upper","11 Feb 2026, 18:00","11 Feb 2026, 19:12","","Bench Press (Dumbbell)",,"",1,"normal",160,4,,,
"Upper","11 Feb 2026, 18:00","11 Feb 2026, 19:12","","Front Raise (Dumbbell)",,"",0,"normal",22.5,10,,,
"Upper","11 Feb 2026, 18:00","11 Feb 2026, 19:12","","Front Raise (Dumbbell)",,"",1,"normal",25,6,,,
"Upper","11 Feb 2026, 18:00","11 Feb 2026, 19:12","","Lateral Raise (Machine)",,"",0,"normal",25,8,,,
"Upper","11 Feb 2026, 18:00","11 Feb 2026, 19:12","","Lateral Raise (Machine)",,"",1,"normal",25,6,,,
"Upper","11 Feb 2026, 18:00","11 Feb 2026, 19:12","","Preacher Curl (Dumbbell)",,"",0,"normal",32.5,6,,,
"Upper","11 Feb 2026, 18:00","11 Feb 2026, 19:12","","Preacher Curl (Dumbbell)",,"",1,"normal",32.5,6,,,
"Upper","11 Feb 2026, 18:00","11 Feb 2026, 19:12","","Triceps Rope Pushdown",,"",0,"normal",60,8,,,
"Upper","11 Feb 2026, 18:00","11 Feb 2026, 19:12","","Triceps Rope Pushdown",,"",1,"normal",60,6,,,
"Upper","11 Feb 2026, 18:00","11 Feb 2026, 19:12","","Lat Pulldown (Cable)",,"",0,"normal",175,5,,,
"Upper","11 Feb 2026, 18:00","11 Feb 2026, 19:12","","Lat Pulldown (Cable)",,"",1,"normal",175,4,,,
"Upper","11 Feb 2026, 18:00","11 Feb 2026, 19:12","","Pullover (Machine)",,"",0,"normal",180,5,,,
"Upper","11 Feb 2026, 18:00","11 Feb 2026, 19:12","","Chest Supported Row",,"",0,"normal",250,4,,,
"Upper","11 Feb 2026, 18:00","11 Feb 2026, 19:12","","Chest Supported Row",,"",1,"normal",250,4,,,
"Upper","11 Feb 2026, 18:00","11 Feb 2026, 19:12","","Incline Chest Press (Machine)",,"",0,"normal",200,5,,,
