Exercise,PR Weight (lbs),Last Performed
Calf Press (Machine),450.0,"8 Feb 2026, 15:45"
Leg Press (Machine),450.0,"9 Jul 2024, 10:09"
Hip Thrust (Machine),365.0,"8 Jul 2025, 08:52"
Hack Squat (Machine),310.0,"8 Jun 2025, 15:43"
Seated Calf Raise,280.0,"8 Jun 2025, 15:43"
Kelso Shrug,270.0,"9 Oct 2025, 11:44"
Kelso Shrug (Smith Machine),270.0,"8 Jul 2025, 08:52"
Neutral Grip Chest Press,255.0,"6 Jul 2025, 09:07"
Incline Chest Press (Machine),255.0,"9 Oct 2025, 11:44"
Straight Leg Deadlift,255.0,"9 Sep 2025, 12:36"
Chest Supported Row,250.0,"9 Feb 2026, 16:56"
Leg Extension (Machine),240.0,"9 Jul 2024, 10:09"
Back Extension (Machine),240.0,"8 Jun 2025, 15:43"
Leg Press Horizontal (Machine),240.0,"30 Apr 2025, 15:58"
Serratus Anterior,230.0,"9 Aug 2025, 10:55"
Chest Press (Machine),230.0,"9 Nov 2024, 10:55"
Decline Bench Press (Machine),220.0,"7 Feb 2026, 14:26"
Standing Calf Raise (Barbell),205.0,"9 Apr 2024, 15:52"
Seated Shoulder Press (Machine),200.0,"9 Aug 2025, 10:55"
Oblique Twist,200.0,"7 Jan 2026, 07:05"
Calf Extension (Machine),200.0,"9 Jul 2024, 10:09"
Shoulder Press (Machine Plates),180.0,"9 Oct 2025, 11:44"
Pullover (Machine),180.0,"9 Oct 2025, 11:44"
Seated Row (Machine),180.0,"9 Nov 2024, 10:55"
Back Extension (Weighted Hyperextension),180.0,"7 Oct 2025, 11:16"
Chest Supported Row (Smith Machine),175.0,"8 Jul 2025, 08:52"
Lat Pulldown (Cable),175.0,"9 Sep 2025, 12:36"
Bench Press (Dumbbell),170.0,"9 Oct 2025, 11:44"
Bench Press (Smith Machine),165.0,"9 Jun 2024, 18:58"
Chest Fly (Machine),165.0,"9 Nov 2024, 10:55"
Bench Press (Barbell),165.0,"9 Dec 2025, 12:04"
Hip Abduction (Machine),165.0,"7 Jan 2026, 07:05"
Pec Deck Single Arm,165.0,"9 Aug 2025, 10:55"
Shrug (Smith Machine),165.0,"24 Jun 2025, 07:48"
Romanian Deadlift (Barbell),165.0,"9 Apr 2024, 15:52"
Hip Adduction (Machine),160.0,"8 Jun 2025, 15:43"
Incline Bench Press (Smith Machine),160.0,"9 Aug 2025, 10:55"
Cable Crunch,155.0,"8 Sep 2025, 12:15"
Shrug (Dumbbell),150.0,"7 Jun 2025, 11:04"
Incline Bench Press (Dumbbell),150.0,"8 Sep 2025, 12:15"
Lying Leg Curl (Machine),150.0,"8 Feb 2026, 15:45"
Seated Cable Row - Bar Wide Grip,150.0,"9 Sep 2025, 12:36"
Squat (Barbell),140.0,"9 Apr 2024, 15:52"
Seated Leg Curl (Machine),140.0,"9 Sep 2025, 12:36"
Glute Bridge (Machine),140.0,"28 Jun 2025, 09:13"
Romanian Deadlift (Dumbbell),140.0,"9 Jul 2024, 10:09"
Bent Over Row (Barbell),135.0,"4 Aug 2025, 17:28"
Shoulder Press (Dumbbell),130.0,"9 Nov 2024, 10:55"
