week,volume,sets,prs,volume_4wk_avg,volume_8wk_avg,volume_quartile
2024-03-18/2024-03-24,9112.0,20,6.0,,,Low
2024-03-25/2024-03-31,58801.0,109,26.0,,,High
2024-04-01/2024-04-07,86999.5,155,25.0,,,High
2024-04-08/2024-04-14,91759.0,158,24.0,61667.875,,High
2024-04-15/2024-04-21,78044.0,127,8.0,78900.875,,High
2024-04-22/2024-04-28,102252.0,182,9.0,89763.625,,High
2024-04-29/2024-05-05,78892.5,148,8.0,87736.875,,High
2024-05-06/2024-05-12,71286.0,120,9.0,82618.625,72143.25,High
2024-05-13/2024-05-19,55659.8,121,19.0,77022.575,77961.725,Medium-High
2024-05-20/2024-05-26,48317.5,88,4.0,63538.95,76651.2875,Medium-High
2024-05-27/2024-06-02,67851.0,92,12.0,60778.575,74257.725,High
2024-06-03/2024-06-09,45558.75,65,15.0,54346.7625,68482.69375,Medium-High
2024-06-10/2024-06-16,42119.19,73,8.0,50961.61,63992.0925,Medium-High
2024-06-17/2024-06-23,31468.010000000002,43,1.0,46749.2375,55144.09375,medium-Low
2024-06-24/2024-06-30,60998.99,91,14.0,45036.235,52907.405,High
2024-07-01/2024-07-07,58577.5,87,19.0,48290.9225,51318.8425,High
2024-07-08/2024-07-14,75527.5,102,20.0,56643.0,53802.305,High
2024-07-15/2024-07-21,44695.0,81,14.0,59949.7475,53349.4925,Medium-High
2024-07-22/2024-07-28,22990.0,48,3.0,50447.5,47741.8675,medium-Low
2024-07-29/2024-08-04,29465.0,61,2.0,43169.375,45730.14875,medium-Low
2024-08-05/2024-08-11,26092.5,50,9.0,30810.625,43726.8125,medium-Low
2024-08-12/2024-08-18,29800.0,68,6.0,27086.875,43518.31125,medium-Low
2024-08-19/2024-08-25,50964.5,103,20.0,34080.5,42264.0,Medium-High
2024-08-26/2024-09-01,35192.5,75,11.0,35512.375,39340.875,Medium-High
2024-09-02/2024-09-08,36915.0,75,9.0,38218.0,34514.3125,Medium-High
2024-09-09/2024-09-15,11510.0,23,0.0,33645.5,30366.1875,Low
2024-09-16/2024-09-22,39695.0,83,7.0,30828.125,32454.3125,Medium-High
2024-09-23/2024-09-29,28470.0,54,6.0,29147.5,32329.9375,medium-Low
2024-09-30/2024-10-06,35535.0,67,3.0,28802.5,33510.25,Medium-High
2024-10-07/2024-10-13,13915.0,28,0.0,29403.75,31524.625,Low
2024-10-14/2024-10-20,32590.0,63,6.0,27627.5,29227.8125,medium-Low
2024-10-21/2024-10-27,26755.0,48,9.0,27198.75,28173.125,medium-Low
2024-10-28/2024-11-03,25350.0,56,9.0,24652.5,26727.5,medium-Low
2024-11-04/2024-11-10,18445.0,46,18.0,25785.0,27594.375,Low
2024-11-11/2024-11-17,22600.0,51,26.0,23287.5,25457.5,medium-Low
2024-11-18/2024-11-24,25210.0,42,12.0,22901.25,25050.0,medium-Low
2024-11-25/2024-12-01,3805.0,8,4.0,17515.0,21083.75,Low
2024-12-02/2024-12-08,22610.0,44,14.0,18556.25,22170.625,medium-Low
2024-12-09/2024-12-15,5320.0,11,1.0,14236.25,18761.875,Low
2024-12-23/2024-12-29,8755.0,19,1.0,10122.5,16511.875,Low
2024-12-30/2025-01-05,9380.0,21,2.0,11516.25,14515.625,Low
2025-01-06/2025-01-12,3785.0,9,0.0,6810.0,12683.125,Low
2025-01-13/2025-01-19,4210.0,11,0.0,6532.5,10384.375,Low
2025-01-20/2025-01-26,4532.5,11,0.0,5476.875,7799.6875,Low
2025-02-03/2025-02-09,4145.0,10,0.0,4168.125,7842.1875,Low
2025-02-10/2025-02-16,8360.0,16,4.0,5311.875,6060.9375,Low
2025-02-17/2025-02-23,32467.5,56,9.0,12376.25,9454.375,medium-Low
2025-02-24/2025-03-02,14082.5,28,3.0,14763.75,10120.3125,Low
2025-03-03/2025-03-09,5595.0,11,0.0,15126.25,9647.1875,Low
2025-03-10/2025-03-16,3315.0,5,1.0,13865.0,9588.4375,Low
2025-03-17/2025-03-23,12527.5,26,3.0,8880.0,10628.125,Low
2025-03-24/2025-03-30,15380.0,27,1.0,9204.375,11984.0625,Low
2025-03-31/2025-04-06,25730.0,49,5.0,14238.125,14682.1875,medium-Low
2025-04-07/2025-04-13,17692.5,39,4.0,17832.5,15848.75,Low
2025-04-14/2025-04-20,18995.0,39,4.0,19449.375,14164.6875,Low
2025-04-21/2025-04-27,29385.0,59,13.0,22950.625,16077.5,medium-Low
2025-04-28/2025-05-04,20625.0,44,8.0,21674.375,17956.25,Low
2025-05-05/2025-05-11,11980.0,26,1.0,20246.25,19039.375,Low
2025-05-12/2025-05-18,8402.5,22,2.0,17598.125,18523.75,Low
2025-05-19/2025-05-25,24495.0,52,9.0,16375.625,19663.125,medium-Low
2025-05-26/2025-06-01,27335.0,50,3.0,18053.125,19863.75,medium-Low
2025-06-02/2025-06-08,32322.5,62,12.0,23138.75,21692.5,medium-Low
2025-06-09/2025-06-15,38322.5,66,16.0,30618.75,24108.4375,Medium-High
2025-06-16/2025-06-22,39247.5,66,20.0,34306.875,25341.25,Medium-High
2025-06-23/2025-06-29,43317.5,69,26.0,38302.5,28177.8125,Medium-High
2025-06-30/2025-07-06,67340.0,97,38.0,47056.875,35097.8125,High
